step,y_a_mean,y_a_std,y_b_mean,y_b_std,sign_gate_mean,sign_gate_std,separation_mean,separation_std,target_component_mean,target_component_std,orthogonal_component_mean,orthogonal_component_std,weight_norm_mean,weight_norm_std
10,0.0008244302571984008,0.006306485734322567,-0.0005406942971603712,0.0057724112739660684,0.66,0.47851812069840644,0.0076639110736869045,0.004822740192607526,0.0009652888295513515,0.006375399723464794,0.00020063162140936607,0.005696206860628362,0.008117954282574079,0.002615007352853298
11,0.0008247715147444979,0.00630822488963199,-0.0005410355557978619,0.005774031942349002,0.66,0.47851812069840644,0.007667742784979055,0.004825151256304036,0.0009657714413730357,0.006378587162672283,0.00020063162063763414,0.005696206802568832,0.008120238488498336,0.0026157251347461753
12,0.0008251129474956542,0.006309965260894977,-0.0005413770031736931,0.005775653892561961,0.66,0.47851812069840644,0.0076715764690743525,0.0048275635148529285,0.0009662543105415663,0.006381776224008812,0.00020063161029642738,0.0056962067823283415,0.008122524078460208,0.002616444409546984
13,0.0008254545269301161,0.00631170677751159,-0.000541718600798049,0.005777277119960372,0.66,0.47851812069840644,0.007675412032185704,0.004829977011929331,0.0009667373896726073,0.00638496687379296,0.00020063159743422993,0.005696206754206689,0.00812481098312141,0.0026171651991035967
14,0.000825796301360242,0.006313449512958846,-0.0005420603627862875,0.005778901552841972,0.66,0.47851812069840644,0.007679249507636996,0.004832391792023045,0.0009672207229092208,0.006388159142470291,0.00020063160623197304,0.005696206692228863,0.008127099216061816,0.00261788749786512
15,0.0008261381939519197,0.006315193468424189,-0.0005424023064551875,0.005780527215096746,0.66,0.47851812069840644,0.007683088905760087,0.004834807688111194,0.0009677042681662966,0.006391352979706489,0.00020063157011492272,0.0056962066778601566,0.008129388791789191,0.0026186112944175206
16,0.0008264802914345636,0.0063169386360961335,-0.0005427444283850491,0.005782154088938069,0.66,0.47851812069840644,0.007686930234194733,0.004837224757802947,0.0009681880843526988,0.006394548402875391,0.0002006315528281292,0.0056962066644137025,0.008131679706767772,0.0026193365690712987
17,0.0008268225804204121,0.0063186849026077435,-0.0005430866961251013,0.005783782232807887,0.66,0.47851812069840644,0.007690773434296716,0.004839643005477195,0.0009686721390556899,0.006397745382673274,0.0002006315678511759,0.005696206617870355,0.008133971917014864,0.0026200633056112223
18,0.0008271650248207152,0.006320432415162854,-0.0005434291275741998,0.005785411612002153,0.66,0.47851812069840644,0.007694618547247956,0.004842062553957896,0.0009691564194130726,0.006400943992800766,0.00020063157700906056,0.0056962065829777005,0.008136265484828247,0.002620791577259832
19,0.0008275075792334974,0.006322181106854211,-0.0005437717291351873,0.005787042232307473,0.66,0.47851812069840644,0.007698465577122988,0.004844483331875522,0.0009696408978482956,0.006404144213023267,0.00020063154367024467,0.005696206513564547,0.008138560379094401,0.002621521320737066
20,0.0008278503915062174,0.006323931037864123,-0.0005441145184158814,0.005788674108641614,0.66,0.47851812069840644,0.007702314561320236,0.004846905300659996,0.0009701256913559067,0.006407346033614138,0.00020063155992806225,0.005696206501984293,0.008140856655238483,0.0026222525898920834
21,0.0008281933492980898,0.006325682170618943,-0.000544457486103056,0.0057903072110558175,0.66,0.47851812069840644,0.007706165451527341,0.004849328543182802,0.0009706107139135295,0.006410549469577271,0.00020063155293102686,0.0056962064587051196,0.008143154257831457,0.0026229853654477853
22,0.0008285364741459489,0.006327434428552092,-0.0005448005947982892,0.005791941577828193,0.66,0.47851812069840644,0.007710018251673318,0.004851752938089479,0.0009710959543053278,0.006413754479155301,0.00020063156435265816,0.005696206384052159,0.008145453171874375,0.002623719593792513
