model,epoch,bce,condition,architecture
8,27,0.016806285828351974,blocked,Hebbian
8,28,0.0160194281488657,blocked,Hebbian
8,29,0.016355914995074272,blocked,Hebbian
8,30,0.01745966076850891,blocked,Hebbian
8,31,0.016647083684802055,blocked,Hebbian
8,32,0.016037218272686005,blocked,Hebbian
8,33,0.01593301258981228,blocked,Hebbian
8,34,0.016266457736492157,blocked,Hebbian
8,35,0.01587750017642975,blocked,Hebbian
8,36,0.017048900946974754,blocked,Hebbian
8,37,0.01687937043607235,blocked,Hebbian
8,38,0.01612941361963749,blocked,Hebbian
8,39,0.01585428975522518,blocked,Hebbian
8,40,0.016018982976675034,blocked,Hebbian
9,0,0.018078560009598732,blocked,Hebbian
9,1,0.018296120688319206,blocked,Hebbian
9,2,0.017567303031682968,blocked,Hebbian
9,3,0.017348427325487137,blocked,Hebbian
9,4,0.017366474494338036,blocked,Hebbian
9,5,0.017398398369550705,blocked,Hebbian
9,6,0.017284797504544258,blocked,Hebbian
9,7,0.017303647473454475,blocked,Hebbian
9,8,0.01734277606010437,blocked,Hebbian
9,9,0.017346763983368874,blocked,Hebbian
9,10,0.01726655662059784,blocked,Hebbian
9,11,0.017078256234526634,blocked,Hebbian
9,12,0.017097601667046547,blocked,Hebbian
9,13,0.017518583685159683,blocked,Hebbian
9,14,0.018093260005116463,blocked,Hebbian
9,15,0.017161637544631958,blocked,Hebbian
9,16,0.016951503232121468,blocked,Hebbian
9,17,0.016901258379220963,blocked,Hebbian
9,18,0.016752192750573158,blocked,Hebbian
9,19,0.017039546743035316,blocked,Hebbian
9,20,0.01690320111811161,blocked,Hebbian
9,21,0.01711869239807129,blocked,Hebbian
9,22,0.017211906611919403,blocked,Hebbian
9,23,0.016896774992346764,blocked,Hebbian
9,24,0.017164597287774086,blocked,Hebbian
9,25,0.018099328503012657,blocked,Hebbian
9,26,0.017202088609337807,blocked,Hebbian
9,27,0.017939282581210136,blocked,Hebbian
9,28,0.017412735149264336,blocked,Hebbian
9,29,0.0171752218157053,blocked,Hebbian
9,30,0.01737953908741474,blocked,Hebbian
9,31,0.017354588955640793,blocked,Hebbian
9,32,0.01718674786388874,blocked,Hebbian
9,33,0.017382528632879257,blocked,Hebbian
9,34,0.017165407538414,blocked,Hebbian
9,35,0.017185019329190254,blocked,Hebbian
9,36,0.017494799569249153,blocked,Hebbian
9,37,0.017742684110999107,blocked,Hebbian
9,38,0.017249496653676033,blocked,Hebbian
9,39,0.01715610735118389,blocked,Hebbian
9,40,0.01737987995147705,blocked,Hebbian
