model,acc,architecture,condition,lr_hebb
1,0.0,Hebbian,interleaved,0.01
1,0.0,Hebbian,interleaved,0.01
1,1.0,Hebbian,interleaved,0.01
1,1.0,Hebbian,interleaved,0.01
1,1.0,Hebbian,interleaved,0.01
1,1.0,Hebbian,interleaved,0.01
1,1.0,Hebbian,interleaved,0.01
1,0.0,Hebbian,interleaved,0.01
1,1.0,Hebbian,interleaved,0.01
1,0.0,Hebbian,interleaved,0.01
1,0.0,Hebbian,interleaved,0.01
1,1.0,Hebbian,interleaved,0.01
1,1.0,Hebbian,interleaved,0.01
1,1.0,Hebbian,interleaved,0.01
1,1.0,Hebbian,interleaved,0.01
1,1.0,Hebbian,interleaved,0.01
1,0.0,Hebbian,interleaved,0.01
1,1.0,Hebbian,interleaved,0.01
1,0.0,Hebbian,interleaved,0.01
1,1.0,Hebbian,interleaved,0.01
1,1.0,Hebbian,interleaved,0.01
1,1.0,Hebbian,interleaved,0.01
1,1.0,Hebbian,interleaved,0.01
1,1.0,Hebbian,interleaved,0.01
1,1.0,Hebbian,interleaved,0.01
1,0.0,Hebbian,interleaved,0.01
1,0.0,Hebbian,interleaved,0.01
1,0.0,Hebbian,interleaved,0.01
1,0.0,Hebbian,interleaved,0.01
1,0.0,Hebbian,interleaved,0.01
1,1.0,Hebbian,interleaved,0.01
1,1.0,Hebbian,interleaved,0.01
1,1.0,Hebbian,interleaved,0.01
1,1.0,Hebbian,interleaved,0.01
1,1.0,Hebbian,interleaved,0.01
1,0.0,Hebbian,interleaved,0.01
1,1.0,Hebbian,interleaved,0.01
1,0.0,Hebbian,interleaved,0.01
1,0.0,Hebbian,interleaved,0.01
1,0.0,Hebbian,interleaved,0.01
1,1.0,Hebbian,interleaved,0.01
1,1.0,Hebbian,interleaved,0.01
1,1.0,Hebbian,interleaved,0.01
1,1.0,Hebbian,interleaved,0.01
1,1.0,Hebbian,interleaved,0.01
1,1.0,Hebbian,interleaved,0.01
1,0.0,Hebbian,interleaved,0.01
1,0.0,Hebbian,interleaved,0.01
1,1.0,Hebbian,interleaved,0.01
1,1.0,Hebbian,interleaved,0.01
1,1.0,Hebbian,interleaved,0.01
1,1.0,Hebbian,interleaved,0.01
1,1.0,Hebbian,interleaved,0.01
1,1.0,Hebbian,interleaved,0.01
1,1.0,Hebbian,interleaved,0.01
1,1.0,Hebbian,interleaved,0.01
1,1.0,Hebbian,interleaved,0.01
1,0.0,Hebbian,interleaved,0.01
1,0.0,Hebbian,interleaved,0.01
1,1.0,Hebbian,interleaved,0.01
1,1.0,Hebbian,interleaved,0.01
1,0.0,Hebbian,interleaved,0.01
1,1.0,Hebbian,interleaved,0.01
1,0.0,Hebbian,interleaved,0.01
1,1.0,Hebbian,interleaved,0.01
