,model,acc,curriculum
683,0,1.0,non-sequential
684,0,0.0,non-sequential
685,0,1.0,non-sequential
686,0,0.0,non-sequential
687,0,1.0,non-sequential
688,0,0.0,non-sequential
689,0,1.0,non-sequential
690,0,1.0,non-sequential
691,0,1.0,non-sequential
692,0,1.0,non-sequential
693,0,1.0,non-sequential
694,0,1.0,non-sequential
695,0,1.0,non-sequential
696,0,1.0,non-sequential
697,0,1.0,non-sequential
698,0,0.0,non-sequential
699,0,1.0,non-sequential
700,0,1.0,non-sequential
701,0,1.0,non-sequential
702,0,1.0,non-sequential
703,0,1.0,non-sequential
704,0,1.0,non-sequential
705,0,0.0,non-sequential
706,0,1.0,non-sequential
707,0,1.0,non-sequential
708,0,1.0,non-sequential
709,0,1.0,non-sequential
710,0,1.0,non-sequential
711,0,1.0,non-sequential
712,0,1.0,non-sequential
713,0,1.0,non-sequential
714,0,0.0,non-sequential
715,0,1.0,non-sequential
716,0,1.0,non-sequential
717,0,1.0,non-sequential
718,0,1.0,non-sequential
719,0,1.0,non-sequential
720,0,1.0,non-sequential
721,0,1.0,non-sequential
722,0,0.0,non-sequential
723,0,1.0,non-sequential
724,0,0.0,non-sequential
725,0,1.0,non-sequential
726,0,1.0,non-sequential
727,0,1.0,non-sequential
728,0,1.0,non-sequential
729,0,1.0,non-sequential
730,0,1.0,non-sequential
731,0,1.0,non-sequential
732,0,1.0,non-sequential
733,0,1.0,non-sequential
734,0,0.0,non-sequential
735,0,1.0,non-sequential
736,0,0.0,non-sequential
737,0,1.0,non-sequential
738,0,1.0,non-sequential
739,0,1.0,non-sequential
740,0,1.0,non-sequential
741,0,1.0,non-sequential
742,0,0.0,non-sequential
743,0,1.0,non-sequential
744,0,1.0,non-sequential
745,0,0.0,non-sequential
746,0,1.0,non-sequential
747,0,1.0,non-sequential
748,0,1.0,non-sequential
749,0,1.0,non-sequential
750,0,1.0,non-sequential
751,0,0.0,non-sequential
752,0,1.0,non-sequential
753,0,1.0,non-sequential
754,0,1.0,non-sequential
755,0,0.0,non-sequential
756,0,1.0,non-sequential
757,0,1.0,non-sequential
758,0,1.0,non-sequential
759,0,1.0,non-sequential
760,0,1.0,non-sequential
761,0,1.0,non-sequential
762,0,1.0,non-sequential
763,0,1.0,non-sequential
764,0,1.0,non-sequential
765,0,1.0,non-sequential
766,0,0.0,non-sequential
767,0,1.0,non-sequential
768,0,1.0,non-sequential
769,0,1.0,non-sequential
770,0,1.0,non-sequential
771,0,1.0,non-sequential
772,0,1.0,non-sequential
773,0,1.0,non-sequential
774,0,1.0,non-sequential
775,0,1.0,non-sequential
776,0,1.0,non-sequential
777,0,1.0,non-sequential
778,0,1.0,non-sequential
779,0,1.0,non-sequential
780,0,1.0,non-sequential
781,0,1.0,non-sequential
782,0,1.0,non-sequential
783,0,0.0,non-sequential
784,0,1.0,non-sequential
785,0,1.0,non-sequential
786,0,0.0,non-sequential
787,0,1.0,non-sequential
788,0,1.0,non-sequential
789,0,1.0,non-sequential
790,0,1.0,non-sequential
791,0,1.0,non-sequential
792,0,1.0,non-sequential
793,0,0.0,non-sequential
794,0,1.0,non-sequential
795,0,0.0,non-sequential
796,0,0.0,non-sequential
797,0,1.0,non-sequential
798,0,1.0,non-sequential
799,0,1.0,non-sequential
800,0,1.0,non-sequential
801,0,1.0,non-sequential
802,0,1.0,non-sequential
803,0,1.0,non-sequential
804,0,1.0,non-sequential
805,0,0.0,non-sequential
806,0,1.0,non-sequential
807,0,1.0,non-sequential
808,0,1.0,non-sequential
809,0,1.0,non-sequential
810,0,1.0,non-sequential
811,0,1.0,non-sequential
812,0,0.0,non-sequential
813,0,1.0,non-sequential
814,0,1.0,non-sequential
815,0,1.0,non-sequential
816,0,1.0,non-sequential
817,0,1.0,non-sequential
818,0,1.0,non-sequential
819,0,1.0,non-sequential
820,0,1.0,non-sequential
821,0,1.0,non-sequential
822,0,0.0,non-sequential
823,0,1.0,non-sequential
824,0,0.0,non-sequential
825,0,0.0,non-sequential
826,0,1.0,non-sequential
827,0,1.0,non-sequential
828,0,1.0,non-sequential
829,0,1.0,non-sequential
830,0,1.0,non-sequential
831,0,1.0,non-sequential
832,0,0.0,non-sequential
