model,epoch,bce,condition,architecture
5,17,0.011075458489358425,interleaved,Hebbian
5,18,0.01054812129586935,interleaved,Hebbian
5,19,0.00977929774671793,interleaved,Hebbian
5,20,0.009470216929912567,interleaved,Hebbian
5,21,0.010497219860553741,interleaved,Hebbian
5,22,0.009113641455769539,interleaved,Hebbian
5,23,0.008884101174771786,interleaved,Hebbian
5,24,0.009736343286931515,interleaved,Hebbian
5,25,0.009269380010664463,interleaved,Hebbian
5,26,0.009825433604419231,interleaved,Hebbian
5,27,0.009268106892704964,interleaved,Hebbian
5,28,0.009471920318901539,interleaved,Hebbian
5,29,0.008865323849022388,interleaved,Hebbian
5,30,0.008994548581540585,interleaved,Hebbian
5,31,0.00878003891557455,interleaved,Hebbian
5,32,0.008530357852578163,interleaved,Hebbian
5,33,0.008653641678392887,interleaved,Hebbian
5,34,0.008864936418831348,interleaved,Hebbian
5,35,0.00849147979170084,interleaved,Hebbian
5,36,0.008411734364926815,interleaved,Hebbian
5,37,0.00840398482978344,interleaved,Hebbian
5,38,0.008559975773096085,interleaved,Hebbian
5,39,0.008401690982282162,interleaved,Hebbian
5,40,0.00823166687041521,interleaved,Hebbian
6,0,0.02093403972685337,interleaved,Hebbian
6,1,0.01734955608844757,interleaved,Hebbian
6,2,0.017087524756789207,interleaved,Hebbian
6,3,0.016970479860901833,interleaved,Hebbian
6,4,0.016798950731754303,interleaved,Hebbian
6,5,0.016376810148358345,interleaved,Hebbian
6,6,0.016198815777897835,interleaved,Hebbian
6,7,0.015925820916891098,interleaved,Hebbian
6,8,0.015497848391532898,interleaved,Hebbian
6,9,0.014866183511912823,interleaved,Hebbian
6,10,0.014089453965425491,interleaved,Hebbian
6,11,0.012867700308561325,interleaved,Hebbian
6,12,0.01248046476393938,interleaved,Hebbian
6,13,0.01131023932248354,interleaved,Hebbian
6,14,0.010796191170811653,interleaved,Hebbian
6,15,0.010428755544126034,interleaved,Hebbian
6,16,0.010105282068252563,interleaved,Hebbian
6,17,0.009892955422401428,interleaved,Hebbian
6,18,0.00941193476319313,interleaved,Hebbian
6,19,0.009267912246286869,interleaved,Hebbian
6,20,0.00893695093691349,interleaved,Hebbian
6,21,0.009261125698685646,interleaved,Hebbian
6,22,0.008785070851445198,interleaved,Hebbian
6,23,0.009230576455593109,interleaved,Hebbian
6,24,0.00946955755352974,interleaved,Hebbian
6,25,0.00947003997862339,interleaved,Hebbian
6,26,0.008604154922068119,interleaved,Hebbian
6,27,0.008940515108406544,interleaved,Hebbian
6,28,0.008742189966142178,interleaved,Hebbian
6,29,0.008348406292498112,interleaved,Hebbian
6,30,0.009122286923229694,interleaved,Hebbian
