model,trial,training_condition,pathway,mae,error
0,153,blocked,error-gated replacement,0.6529384851455688,1.0
0,154,blocked,supplied context,0.5443887114524841,1.0
0,154,blocked,zero context,0.48016688227653503,0.0
0,154,blocked,error-gated replacement,0.4753168225288391,0.0
0,155,blocked,supplied context,0.5297882556915283,1.0
0,155,blocked,zero context,0.4927366077899933,0.0
0,155,blocked,error-gated replacement,0.49839648604393005,0.0
0,156,blocked,supplied context,0.35944634675979614,0.0
0,156,blocked,zero context,0.32615527510643005,0.0
0,156,blocked,error-gated replacement,0.32334718108177185,0.0
0,157,blocked,supplied context,7.210311991912022e-07,0.0
0,157,blocked,zero context,5.41845338375424e-07,0.0
0,157,blocked,error-gated replacement,5.41998474545835e-07,0.0
0,158,blocked,supplied context,2.206089902756503e-06,0.0
0,158,blocked,zero context,1.6695790918674902e-06,0.0
0,158,blocked,error-gated replacement,1.6695604472261039e-06,0.0
0,159,blocked,supplied context,3.5852033875016787e-07,0.0
0,159,blocked,zero context,2.9895713282712677e-07,0.0
0,159,blocked,error-gated replacement,2.989177119161468e-07,0.0
0,160,blocked,supplied context,9.546919272906962e-07,0.0
0,160,blocked,zero context,8.352000691047579e-07,0.0
0,160,blocked,error-gated replacement,8.352855047633057e-07,0.0
0,161,blocked,supplied context,0.45724838972091675,0.0
0,161,blocked,zero context,0.4507199823856354,0.0
0,161,blocked,error-gated replacement,0.4497414827346802,0.0
0,162,blocked,supplied context,0.5147780179977417,1.0
0,162,blocked,zero context,0.5039528012275696,1.0
0,162,blocked,error-gated replacement,0.5032359957695007,1.0
0,163,blocked,supplied context,0.5757536888122559,1.0
0,163,blocked,zero context,0.5246119499206543,1.0
0,163,blocked,error-gated replacement,0.5757536888122559,1.0
0,164,blocked,supplied context,0.5365491509437561,1.0
0,164,blocked,zero context,0.4969713091850281,0.0
0,164,blocked,error-gated replacement,0.49540892243385315,0.0
0,165,blocked,supplied context,0.5893232822418213,1.0
0,165,blocked,zero context,0.5786838531494141,1.0
0,165,blocked,error-gated replacement,0.5821870565414429,1.0
0,166,blocked,supplied context,1.255830852642248e-06,0.0
0,166,blocked,zero context,8.970461635726679e-07,0.0
0,166,blocked,error-gated replacement,1.255830852642248e-06,0.0
0,167,blocked,supplied context,3.4312849948037183e-06,0.0
