model,epoch,size_error,bce_loss,threshold,weights_path
MLP,55,0.21370798349380493,0.0002013096964219585,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
MLP,56,0.2090575098991394,0.0001896909816423431,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
MLP,57,0.20756568014621735,0.00019226125732529908,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
MLP,58,0.20567092299461365,0.00019256258383393288,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
MLP,59,0.2078103870153427,0.00021003700385335833,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
MLP,60,0.1999719738960266,0.00018644894589670002,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
MLP,61,0.210844025015831,0.00023321787011809647,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
MLP,62,0.19437341392040253,0.00017631694208830595,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
MLP,63,0.19472351670265198,0.0001824155478971079,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
MLP,64,0.1909569799900055,0.00017633952666074038,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
MLP,65,0.18829190731048584,0.00017341568309348077,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
MLP,66,0.18760257959365845,0.0001743995089782402,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
MLP,67,0.18701067566871643,0.0001792226976249367,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
MLP,68,0.18387749791145325,0.0001691092475084588,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
MLP,69,0.18110992014408112,0.00016682523710187525,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
MLP,70,0.18170537054538727,0.00017470066086389124,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
MLP,71,0.18102166056632996,0.00017077453958336264,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
MLP,72,0.1811259239912033,0.00017336606106255203,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
MLP,73,0.18107488751411438,0.00017769269470591098,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
MLP,74,0.187580406665802,0.00020088636665605009,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
MLP,75,0.17374256253242493,0.00016107369447126985,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
