model,rt,error,size_condition,cat_condition,rand_condition,block_type
0,0.28335583,0.0,s_ms,c_ma,c_ma,blocked
0,0.25094524,0.0,s_ms,c_ma,c_ms,blocked
0,0.3172593,0.0,s_ms,c_ma,c_ma,blocked
0,0.46728048,0.0,s_ms,c_ma,c_ms,blocked
0,0.36260355,0.0,s_ms,c_ma,c_ms,blocked
0,1.7945302e-05,0.0,s_ma,c_ma,c_ms,blocked
0,7.8553416e-07,0.0,s_ma,c_ma,c_ma,blocked
0,2.2968798e-06,0.0,s_ma,c_ma,c_ms,blocked
0,1.7487238e-05,0.0,s_ma,c_ma,c_ma,blocked
0,0.292476,0.0,s_ms,c_ms,c_ma,blocked
0,0.23842947,0.0,s_ms,c_ms,c_ms,blocked
0,0.31564754,0.0,s_ms,c_ms,c_ms,blocked
0,0.3969447,0.0,s_ms,c_ms,c_ma,blocked
0,0.23283361,0.0,s_ms,c_ms,c_ma,blocked
0,1.4487852e-05,0.0,s_ma,c_ms,c_ms,blocked
0,1.8398561e-05,0.0,s_ma,c_ms,c_ma,blocked
0,1.2312259e-05,0.0,s_ma,c_ms,c_ms,blocked
0,1.8709823e-05,0.0,s_ma,c_ms,c_ma,blocked
0,3.0016174e-05,0.0,s_ma,c_ms,c_ms,blocked
0,0.56597614,1.0,s_ms,c_ma,c_ma,blocked
0,0.44990212,0.0,s_ms,c_ma,c_ms,blocked
0,0.49627694,0.0,s_ms,c_ma,c_ma,blocked
0,0.5109925,1.0,s_ms,c_ma,c_ms,blocked
0,0.5288621,1.0,s_ms,c_ma,c_ms,blocked
0,1.3877823e-06,0.0,s_ma,c_ma,c_ms,blocked
0,7.856818e-07,0.0,s_ma,c_ma,c_ma,blocked
0,1.0495107e-05,0.0,s_ma,c_ma,c_ms,blocked
0,1.217531e-07,0.0,s_ma,c_ma,c_ma,blocked
0,0.44210202,0.0,s_ms,c_ms,c_ma,blocked
0,0.41569677,0.0,s_ms,c_ms,c_ms,blocked
0,0.5450089,1.0,s_ms,c_ms,c_ms,blocked
0,0.4907787,0.0,s_ms,c_ms,c_ma,blocked
0,0.48977116,0.0,s_ms,c_ms,c_ma,blocked
0,5.012685e-07,0.0,s_ma,c_ms,c_ms,blocked
0,6.0139564e-07,0.0,s_ma,c_ms,c_ma,blocked
0,1.9694744e-06,0.0,s_ma,c_ms,c_ms,blocked
0,3.0182985e-06,0.0,s_ma,c_ms,c_ma,blocked
0,7.422825e-06,0.0,s_ma,c_ms,c_ms,blocked
0,0.45207024,0.0,s_ms,c_ma,c_ms,blocked
0,0.27436858,0.0,s_ms,c_ma,c_ma,blocked
0,0.3181368,0.0,s_ms,c_ma,c_ms,blocked
0,0.36746442,0.0,s_ms,c_ma,c_ma,blocked
0,0.34233516,0.0,s_ms,c_ma,c_ma,blocked
0,1.212561e-05,0.0,s_ma,c_ma,c_ma,blocked
0,2.2356435e-06,0.0,s_ma,c_ma,c_ms,blocked
0,9.779542e-06,0.0,s_ma,c_ma,c_ms,blocked
0,5.0101503e-06,0.0,s_ma,c_ma,c_ms,blocked
0,0.31344754,0.0,s_ms,c_ms,c_ms,blocked
0,0.38239604,0.0,s_ms,c_ms,c_ma,blocked
0,0.32762456,0.0,s_ms,c_ms,c_ma,blocked
0,0.41378355,0.0,s_ms,c_ms,c_ms,blocked
0,0.38116467,0.0,s_ms,c_ms,c_ms,blocked
0,6.2344093e-06,0.0,s_ma,c_ms,c_ma,blocked
0,2.9818198e-06,0.0,s_ma,c_ms,c_ms,blocked
0,4.910197e-06,0.0,s_ma,c_ms,c_ma,blocked
0,9.029926e-06,0.0,s_ma,c_ms,c_ms,blocked
0,1.0299756e-05,0.0,s_ma,c_ms,c_ma,blocked
0,0.36818928,0.0,s_ms,c_ma,c_ma,blocked
0,0.27585387,0.0,s_ms,c_ma,c_ms,blocked
0,0.40140718,0.0,s_ms,c_ma,c_ma,blocked
0,0.31542972,0.0,s_ms,c_ma,c_ms,blocked
0,0.32252544,0.0,s_ms,c_ma,c_ms,blocked
0,2.5406387e-06,0.0,s_ma,c_ma,c_ms,blocked
0,1.4647482e-05,0.0,s_ma,c_ma,c_ma,blocked
0,1.2183281e-07,0.0,s_ma,c_ma,c_ma,blocked
0,4.7127237e-06,0.0,s_ma,c_ma,c_ms,blocked
0,0.4015659,0.0,s_ms,c_ms,c_ma,blocked
0,0.48680276,0.0,s_ms,c_ms,c_ms,blocked
0,0.4257617,0.0,s_ms,c_ms,c_ms,blocked
0,0.51385474,1.0,s_ms,c_ms,c_ma,blocked
0,0.2600003,0.0,s_ms,c_ms,c_ma,blocked
0,7.233423e-06,0.0,s_ma,c_ms,c_ms,blocked
0,2.2431827e-06,0.0,s_ma,c_ms,c_ma,blocked
0,1.3080485e-07,0.0,s_ma,c_ms,c_ms,blocked
0,4.2663035e-07,0.0,s_ma,c_ms,c_ma,blocked
0,7.219218e-06,0.0,s_ma,c_ms,c_ms,blocked
0,2.9523637e-06,0.0,s_ma,c_ms,c_ma,blocked
0,2.5713924e-05,0.0,s_ma,c_ms,c_ms,blocked
0,5.2970947e-05,0.0,s_ma,c_ms,c_ma,blocked
